filename,title,id,slug,url,created,tags_before,tags_after
data-commons.md,Data Commons,DG-RSRCH-1,data-commons,https://datacommons.org/,"August 31, 2025 2:51 PM",api;data;data-portal;digital-humanities;knowledge-graph;portal,api;data;data-portal;digital-humanities;knowledge-graph;portal
data-pen.md,Data Pen,DG-RSRCH-11,data-pen,http://hdlab.stanford.edu/data-pen/,"August 31, 2025 2:51 PM",data;digital-humanities;exploration;history;multidimensional;r,data;digital-humanities;exploration;history;multidimensional;r
dh-tools-for-beginners.md,DH Tools for Beginners,DG-RSRCH-85,dh-tools-for-beginners,https://medium.com/dh-tools-for-beginners,"August 31, 2025 2:51 PM",beginner;digital-humanities;r;tutorials,beginner;digital-humanities;r;tutorials
dh-toychest.md,DH Toychest,DG-RSRCH-60,dh-toychest,http://dhresourcesforprojectbuilding.pbworks.com/w/page/69244319/Digital%20Humanities%20Tools,"August 31, 2025 2:51 PM",digital-humanities;directory;r;tools,digital-humanities;directory;r;tools
dhcenter-unil-epfl.md,DHCenter UNIL-EPFL,DG-RSRCH-175,dhcenter-unil-epfl,https://dhcenter-unil-epfl.com/,"August 31, 2025 6:26 PM",austria;dh;digital-humanities;institute;organization;r;switzerland,austria;dh;digital-humanities;institute;organization;r;switzerland
dhch.md,DHCH,DG-RSRCH-48,dhch,https://dh-ch.ch/,"August 31, 2025 2:51 PM",centers;digital-humanities;network;organization;switzerland,centers;digital-humanities;network;organization;switzerland
dhslack.md,DHSlack,DG-RSRCH-68,dhslack,https://github.com/amandavisconti/DHslack/blob/master/CodeOfConduct.md,"August 31, 2025 2:51 PM",community;digital-humanities;r;slack,community;digital-humanities;r;slack
digital-editions-course.md,Digital Editions Course,DG-RSRCH-86,digital-editions-course,https://www.prisms.digital/training/,"August 31, 2025 2:51 PM",course;digital-editions;digital-humanities,course;digital-editions;digital-humanities
digital-history-by-moritzmaehr.md,Digital History by @moritzmaehr,DG-RSRCH-222,digital-history-by-moritzmaehr,https://twitter.com/moritzmaehr/lists/digital-history,"August 31, 2025 6:26 PM",digital-history;digital-humanities;list;r;twitter;twitter-list,digital-history;digital-humanities;list;r;twitter;twitter-list
digital-history-network-switzerland.md,Digital History Network Switzerland,DG-RSRCH-49,digital-history-network-switzerland,https://www.digitalhistorynetwork.ch/,"August 31, 2025 2:51 PM",centers;digital-humanities;network;organization;switzerland,centers;digital-humanities;network;organization;switzerland
digital-humanities-bern.md,Digital Humanities Bern,DG-RSRCH-32,digital-humanities-bern,https://www.dh.unibe.ch/,"August 31, 2025 2:51 PM",austria;dh;digital-humanities;institute;organization;r;switzerland,austria;dh;digital-humanities;institute;organization;r;switzerland
digital-humanities-by-grandjeanmartin.md,Digital Humanities by @GrandjeanMartin,DG-RSRCH-79,digital-humanities-by-grandjeanmartin,https://twitter.com/GrandjeanMartin/lists/digital-humanities,"August 31, 2025 2:51 PM",digital-history;digital-humanities;list;r;twitter;twitter-list,digital-history;digital-humanities;list;r;twitter;twitter-list
digital-humanities-by-normanlippert.md,Digital Humanities by @normanlippert,DG-RSRCH-80,digital-humanities-by-normanlippert,https://twitter.com/normanlippert/lists/digital-humanities,"August 31, 2025 2:51 PM",digital-history;digital-humanities;list;r;twitter;twitter-list,digital-history;digital-humanities;list;r;twitter;twitter-list
digital-humanities-by-wpippich.md,Digital Humanities by @wpippich,DG-RSRCH-81,digital-humanities-by-wpippich,https://twitter.com/i/lists/907641704949436416,"August 31, 2025 2:51 PM",digital-history;digital-humanities;list;r;twitter;twitter-list,digital-history;digital-humanities;list;r;twitter;twitter-list
digital-humanities-lab-universitat-basel.md,Digital Humanities Lab - Universität Basel,DG-RSRCH-33,digital-humanities-lab-universitat-basel,https://dhlab.philhist.unibas.ch/en/,"August 31, 2025 2:51 PM",digital-humanities;lab;organization;r;switzerland,digital-humanities;lab;organization;r;switzerland
digital-humanities-literacy-guidebook.md,Digital Humanities Literacy Guidebook,DG-RSRCH-87,digital-humanities-literacy-guidebook,https://cmu-lib.github.io/dhlg/topics/,"August 31, 2025 2:51 PM",digital-humanities;guidebook;overview,digital-humanities;guidebook;overview
digital-humanities-now.md,Digital Humanities Now,DG-RSRCH-50,digital-humanities-now,http://digitalhumanitiesnow.org/,"August 31, 2025 2:51 PM",aggregator;digital-humanities;publication,aggregator;digital-humanities;publication
digital-humanities-theories-and-practice.md,Digital Humanities Theories and Practice,DG-RSRCH-88,digital-humanities-theories-and-practice,https://ltagliaferri.github.io/dh-rutgers-2022/,"August 31, 2025 2:51 PM",course;digital-editions;digital-humanities;r;rutgers,course;digital-editions;digital-humanities;r;rutgers
digital-humanities-women-by-amandafrench.md,Digital Humanities Women by @amandafrench,DG-RSRCH-82,digital-humanities-women-by-amandafrench,https://twitter.com/i/lists/81258446,"August 31, 2025 2:51 PM",digital-history;digital-humanities;list;r;twitter;twitter-list;women,digital-history;digital-humanities;list;r;twitter;twitter-list;women
digital-public-library-of-america-dpla.md,Digital Public Library of America (DPLA),DG-RSRCH-302,digital-public-library-of-america-dpla,https://dp.la,"August 31, 2025 6:26 PM",digital-humanities;portal,digital-humanities;portal
digital-textuality-resource-pages.md,Digital Textuality Resource Pages,DG-RSRCH-61,digital-textuality-resource-pages,http://digitaltextuality.pbworks.com/w/page/68178062/Digital%20Textuality%20Resource%20Pages,"August 31, 2025 2:51 PM",digital-humanities;r;resource-pages;resources,digital-humanities;r;resource-pages;resources
directory-of-open-access-books-doab.md,Directory of Open Access Books (DOAB),DG-RSRCH-293,directory-of-open-access-books-doab,https://doabooks.org,"August 31, 2025 6:26 PM",digital-humanities;open-access,digital-humanities;open-access
docfetcher.md,DocFetcher,DG-RSRCH-12,docfetcher,http://docfetcher.sourceforge.net/,"August 31, 2025 2:51 PM",desktop;desktop-search;digital-humanities;indexing;r;search,desktop;desktop-search;digital-humanities;indexing;r;search
